Region,Shortlist,Role,Company,Tier,Tier Score,Location,Salary Band,Employment Type,Date Posted,Job URL,Job Description,Vertical
East Coast,TRUE,Data Analyst II,Rochester Institute of Technology,A,97,"Rochester, NY",Not listed,Full-time,2026-09-03,https://www.linkedin.com/jobs/view/data-analyst-ii-at-rochester-institute-of-technology-4461906385,"Position Highlights As a Data Analyst II within the Enterprise Data & Analytics team, you will play a key role in advancing the university's data-informed culture by supporting strategic and operational analytics initiatives. In this position, you will work across the full data lifecycle, including data acquisition, validation, transformation, analysis, reporting, and visualization to deliver actionable insights for campus partners. Partnering with stakeholders across the university, you will t…",data_analytics
East Coast,TRUE,Project Analyst,Saint-Gobain,A,97,"Malvern, PA",Not listed,Full-time,2026-09-03,https://www.linkedin.com/jobs/view/project-analyst-at-saint-gobain-4462895816,"WHY DO WE NEED YOU? As part of North America Global Business Services (GBS), the Project Management Office (PMO) helps deliver priority Finance and shared services initiatives that support business value, process excellence, digital innovation, and sustainable adoption. This role offers a unique opportunity to work on a diverse portfolio of projects within a small, collaborative core team, while also supporting GBS tower-led initiatives across North America. Projects focus on standardization, a…",project_management
East Coast,TRUE,Fund & Investment Operations Analyst,Vanguard,A,96,"Malvern, PA",Not listed,Full-time,2026-09-02,https://www.linkedin.com/jobs/view/fund-investment-operations-analyst-at-vanguard-4461289336,"Completes complex tasks, manages priorities, and analyzes inputs to meet fund and investment operational objectives. Responsible for tasks in support of accurate calculations for a wide range of portfolios, including institutional funds, investment trusts, mutual funds, ETFs and other pooled vehicles. Join Vanguard's Fund Analysis and Oversight team and play a critical role in supporting the accuracy, integrity, and daily operations of our investment products. As a Fund & Investment Operations…",data_analytics
East Coast,TRUE,Demand/Supply Chain Analyst.,Defense Logistics Agency,A,94,"Philadelphia, PA",Not listed,Full-time,2026-08-29,https://www.linkedin.com/jobs/view/demand-supply-chain-analyst-at-defense-logistics-agency-4460808509,"Duties Conducts, reviews, and provides expert analysis regarding demand/supply chain performance issues and when required, coordinates with functional process analysts and subject-matter specialists throughout the enterprise. Analyzes and manipulates data regarding past, present, and projected demand/supply chain activity. Monitors, analyzes, and evaluates implementation of accepted proposals for improving KPIs, metrics, and other demand/supply chain performance critical data to ensure the dema…",supply_chain
East Coast,TRUE,Thin Films FEN Process Technician,Wolfspeed,A,91,"Marcy, NY",Not listed,Full-time,2026-08-25,https://www.linkedin.com/jobs/view/thin-films-fen-process-technician-at-wolfspeed-4458785944,"At Wolfspeed, we do amazing things in a human way. We know that the achievements of our organization are due to the passion, hard work and creativity of our employees. We celebrate different perspectives to foster excellence across our organization, and our goal is to make diversity a foundation of what we do. We are proudly building an environment where you can bring your authentic self to work. Enjoy doing things that people say can’t be done? Innovation is at the center of everything we do.…",semiconductor
East Coast,,Revenue Operations Analyst,Stepful,B,84,"New York, NY","$100,000 - $120,000 USD (annual)",Full-time,2026-08-29,https://www.linkedin.com/jobs/view/revenue-operations-analyst-at-stepful-4442174980,"About Stepful Stepful is a workforce platform redefining how America's largest health systems build, train, and retain their talent. Since our founding in 2021, Stepful’s trained over 32,000 practice-ready healthcare workers. Layering onto our successful direct-to-consumer training, Stepful partners with leading healthcare institutions to address the growing national shortage of healthcare workers. We’re improving access to quality healthcare for everyone, everywhere, and improving access to he…",data_analytics
East Coast,,Human Resources Coordinator,Propark Mobility,B,78,"Hartford, CT","$48,000 - $55,000 USD (annual)",Full-time,2026-09-04,https://www.linkedin.com/jobs/view/human-resources-coordinator-at-propark-mobility-4463144792,"Propark Mobility - the best parking company in the universe , and voted one of the Top Places to Work in Connecticut for three straight years. Human Resources Coordinator Propark Mobility – Hartford, CT (Hybrid Remote/On-site) Salary: $48,000–$55,000 | Full-Time + Full Benefits Are you ready to launch your HR career? Join our dynamic corporate HR team and make a real impact across all business locations! What You’ll Do Be the first point of contact for HR inquiries, providing support via phone…",human_resources
East Coast,,Human Resources Coordinator for Field Employees,Personal Touch Home Care,B,78,"Brooklyn, NY",$21 - $23 USD /hr,Full-time,2026-09-04,https://www.linkedin.com/jobs/view/human-resources-coordinator-for-field-employees-at-personal-touch-home-care-4462344252,"Brooklyn, NY Must be fluent in both English and Spanish This is a full-time in person position. Pay: $21.00-$23.00 per hour About Us: With 50 years of dedicated service to our communities, Personal Touch has been a trusted provider of home care. Our priority lies in ensuring exemplary patient care while fostering a supportive and empowering workplace culture for all team members. Why Choose Us : At Personal-Touch Home Care, we are committed to creating a rewarding and fulfilling experience for…",human_resources
East Coast,,Desktop Support Specialist I - NYEE - Digital and Technology Partners - Onsite - Monday - Friday 9am - 5pm,Mount Sinai Morningside,B,76,"New York, NY",$27 - $42 USD /hr,Full-time,2026-09-02,https://www.linkedin.com/jobs/view/desktop-support-specialist-i-nyee-digital-and-technology-partners-onsite-monday-friday-9am-5pm-at-mount-sinai-morningside-4462102602,"Description Job Description 100% Onsite Position Location: New York Eye & Ear Infirmary (NYEE) - 230 2nd Avenue, New York, NY Shift: Monday - Friday, 9am - 5pm The Desktop Support Specialist I provides support to business area management and staff at the highest level for all aspects of workplace technology services including but not limited to network-based systems software and hardware. Responsibilities Duties and Responsibilities Provides support to business area management and staff at the…",it_support
East Coast,,Bilingual HR Coordinator – English/Spanish | Human Resources (Home Care),HouseCalls Home Care,B,76,"Brooklyn, NY",$23 - $25 USD /hr,Full-time,2026-09-02,https://www.linkedin.com/jobs/view/bilingual-hr-coordinator-%E2%80%93-english-spanish-human-resources-home-care-at-housecalls-home-care-4449135529,"At HouseCalls Home Care , we believe every caregiver deserves the same compassion, respect, and support they provide to our patients. As a Licensed Home Care Services Agency (LHCSA) serving elderly and disabled individuals throughout New York, our mission is simple: to improve lives with dignity and heart. We’re seeking a dedicated Bilingual HR Coordinator (English/Spanish) to join our Human Resources team. In this role, you’ll be more than an HR assistant — you’ll be a trusted partner to our c…",human_resources
East Coast,,Talent Acquisition Coordinator,Human Services Management Corporation,B,68,"Milford, MA",Not listed,Full-time,2026-09-04,https://www.linkedin.com/jobs/view/talent-acquisition-coordinator-at-human-services-management-corporation-4463399300,"Company Description Human Services Management Corporation (HSMC) provides shared business and consulting services to both non-profit and proprietary human services agencies. These services include accounting, payroll, third-party billing and collections, human resources, online and live Continuing Education, marketing, facility development and quality assurance programs. Job Description HSMC is currently seeking a full time Talent Acquisition Coordinator! Great opportunity to play an integral r…",human_resources
East Coast,,Recruitment Coordinator,Green Key Resources,B,68,"New York, NY",Not listed,Full-time,2026-09-04,https://www.linkedin.com/jobs/view/recruitment-coordinator-at-green-key-resources-4463608063,"Manhattan based financial research firm seeks a dynamic Recruiting Coordinator to support a Talent Acquisition team. This is a coordinator with a few years of experience, ideally with some campus recruitment experience. Salary: $75-85K base Hybrid, 3 days in office, 2 days remote Hours: 8:30-5 Requirements Coordinate and schedule interviews for candidates and hiring teams, both virtual and campus interviews Manage candidate communication throughout the recruitment process Source and screen pote…",human_resources
East Coast,,Human Resources Assistant,Friedman Vartolo LLP,B,67,"Garden City, NY",Not listed,Full-time,2026-09-03,https://www.linkedin.com/jobs/view/human-resources-assistant-at-friedman-vartolo-llp-4462878112,"The Company Friedman Vartolo LLP is a fast-growing, New York-based law firm specializing in real estate and default services, with over 300 employees providing top-tier legal services to our clients in seven states. While our legal expertise sets us apart, it's our mindset that drives us forward. We bring a fresh, fast-paced energy that drives our momentum and shapes how we approach every challenge. We are a company that chooses to dig deeper, solving problems at the root instead of settling fo…",human_resources
East Coast,,Information Security Analyst,StationMD,B,66,"Maplewood, NJ",Not listed,Full-time,2026-09-02,https://www.linkedin.com/jobs/view/information-security-analyst-at-stationmd-4462477161,"Job Title: Information Security Analyst Reports to: Information Security Manager Employment: Full-Time, Exempt Company Summary StationMD is a telehealth company dedicated to serving individuals with intellectual and/or developmental disabilities (I/DD). All StationMD clinicians are board-certified and specially trained to treat individuals with I/DD. Clinicians are available 24/7 via telemedicine for urgent and non-urgent medical matters. StationMD also offers scheduled psychiatry telemedicine…",cybersecurity
East Coast,,IT Help Desk Technician,Ford Office Technologies,B,61,"Connellsville, PA",Not listed,Full-time,2026-08-26,https://www.linkedin.com/jobs/view/it-help-desk-technician-at-ford-office-technologies-4459379266,"Job Type Full-time Description The IT Help Desk Technician serves as the first point of contact for clients seeking technical assistance. This role is responsible for providing professional, timely, and accurate support for client IT environments, including user accounts, workstations, printers, software, network-connected devices, and standard service requests. As part of a Managed Service Provider (MSP), this position supports multiple client environments and must maintain strong communicatio…",it_support
